Release,version,Action,Method,Old class,New class (– if none)
rel_1_16,v1beta1,DELETED,listControllerRevisionForAllNamespaces,ControllerRevisionList,--
rel_1_16,v1beta1,DELETED,listNamespacedControllerRevision,ControllerRevisionList,--
rel_1_16,v1beta1,DELETED,createSubjectAccessReview,SubjectAccessReview,--
rel_1_16,v1beta1,DELETED,listPriorityClass,PriorityClassList,--
rel_1_16,v1beta1,DELETED,listDaemonSetForAllNamespaces,DaemonSetList,--
rel_1_16,v1beta1,DELETED,listNamespacedDaemonSet,DaemonSetList,--
rel_1_16,v1beta1,DELETED,listVolumeAttachment,VolumeAttachmentList,--
rel_1_16,v1beta1,DELETED,deleteCollectionNamespacedPodDisruptionBudget,PodDisruptionBudget,--
rel_1_16,v1beta1,DELETED,createNamespacedPodDisruptionBudget,PodDisruptionBudget,--
rel_1_16,v1beta1,DELETED,deleteNamespacedPodDisruptionBudget,PodDisruptionBudget,--
rel_1_16,v1beta1,DELETED,readNamespacedPodDisruptionBudget,PodDisruptionBudget,--
rel_1_16,v1beta1,DELETED,patchNamespacedPodDisruptionBudget,PodDisruptionBudget,--
rel_1_16,v1beta1,DELETED,replaceNamespacedPodDisruptionBudget,PodDisruptionBudget,--
rel_1_16,v1beta1,DELETED,replaceNamespacedPodDisruptionBudgetStatus,PodDisruptionBudget,--
rel_1_16,v1beta1,DELETED,createNamespacedDeploymentRollback,DeploymentRollback,--
rel_1_16,v1beta1,DELETED,deleteCollectionRuntimeClass,RuntimeClass,--
rel_1_16,v1beta1,DELETED,createRuntimeClass,RuntimeClass,--
rel_1_16,v1beta1,DELETED,deleteRuntimeClass,RuntimeClass,--
rel_1_16,v1beta1,DELETED,readRuntimeClass,RuntimeClass,--
rel_1_16,v1beta1,DELETED,patchRuntimeClass,RuntimeClass,--
rel_1_16,v1beta1,DELETED,replaceRuntimeClass,RuntimeClass,--
rel_1_16,v1beta1,DELETED,listRuntimeClass,RuntimeClassList,--
rel_1_16,v1beta1,DELETED,deleteCollectionPodSecurityPolicy,PodSecurityPolicy,--
rel_1_16,v1beta1,DELETED,createPodSecurityPolicy,PodSecurityPolicy,--
rel_1_16,v1beta1,DELETED,deletePodSecurityPolicy,PodSecurityPolicy,--
rel_1_16,v1beta1,DELETED,readPodSecurityPolicy,PodSecurityPolicy,--
rel_1_16,v1beta1,DELETED,patchPodSecurityPolicy,PodSecurityPolicy,--
rel_1_16,v1beta1,DELETED,replacePodSecurityPolicy,PodSecurityPolicy,--
